a,b
0.004101437334065733,0.8687997802801428
0.006910647487563148,-0.6294358104199607
0.007140580172138986,0.14214217405164165
0.008650318594323228,-0.2607260088820235
0.011313131313131313,-0.1074747474747475
0.013767670559311615,0.07873386601106336
0.013250517598343685,-0.017598343685300222
0.015920398009950248,0.13432835820895517
0.018013671089666262,0.09091274628065937
0.018057234985892782,0.09451833937928256
0.01743190661478599,0.16723735408560303
0.020308250226654577,-0.006346328195829587
0.01918629550321199,0.06985010706638117
0.017171330011498658,-0.03407435799156766
0.028471560216078804,-0.02735938989513831
0.028819556127372144,0.016436153103891904
0.03888888888888889,0.0012152777777777457
0.055223420647149454,-0.005392912172573094
0.06948429623885226,-0.013842574641333871
0.06237382526975287,0.009014966933518886
0.07497907949790794,0.0017573221757322122
0.09241877256317689,-0.011552346570397165
0.09426617569700158,0.012151499210941608
0.09776322967812329,0.0569012547735952
0.10331507639089074,-0.025223407321994795
0.11550112794070254,-0.006542056074766434
0.023164426059979315,-0.022078593588417794
0.03987538940809968,-0.022741433021806867
0.04152954808806489,-0.03974507531865579
0.0634785688983351,0.05926319518243006
0.08007149240393208,-0.019392314566577307
0.10660321237358715,0.006246281975014756
0.09972175848636616,0.02142459654980522
0.1107540173053152,0.005624227441285434
0.1362737642585551,-0.00798479087452475
0.1534903640256959,-0.029678800856531073
0.154018048990116,-0.018349806617963038
0.15664335664335663,0.009790209790209836
0.17343334139849986,0.0208323251875151
